"Player","Team","Position","Goals","Total Assists","Total Points","GP"
"Joel Armia","MTL","R",2,3,5,7
"Nathan Beaulieu","WPG","D",0,1,1,13
"Connor Murphy","CHI","D",2,3,5,13
"Stefan Noesen","S.J","R",0,0,0,4
"Phillip Danault","MTL","C",0,5,5,14
"Vladislav Namestnikov","DET","C",3,2,5,15
"Rickard Rakell","ANA","L",1,5,6,15
"Colin Miller","BUF","D",1,2,3,10
"Jonathan Marchessault","VGK","C",3,6,9,11
"Barclay Goodrow","T.B","C",2,4,6,12
"Brad Hunt","MIN","D",0,0,0,5
"Torey Krug","STL","D",1,7,8,14
"Matt Tennyson","N.J","D",0,1,1,9
"Luke Glendening","DET","C",0,0,0,13
"Yanni Gourde","T.B","C",4,2,6,12
"Ryan Murray","N.J","D",0,2,2,9
"Alex Galchenyuk","OTT","L",1,0,1,8
"Morgan Rielly","TOR","D",2,9,11,14
"Hampus Lindholm","ANA","D",2,4,6,15
"Matt Dumba","MIN","D",3,1,4,9
"Phillip Di Giuseppe","NYR","L",0,5,5,12
"Brady Skjei","CAR","D",0,3,3,11
"Tanner Pearson","VAN","L",4,4,8,17
"Scott Laughton","PHI","C",4,5,9,13
"Mark Jankowski","PIT","C",1,2,3,12
"Olli Maatta","L.A","D",0,1,1,9
"Mike Matheson","PIT","D",0,0,0,4
"Cody Ceci","PIT","D",1,2,3,9
"Tom Wilson","WSH","R",5,7,12,10
"Tomas Hertl","S.J","C",5,4,9,12
"Teuvo Teravainen","CAR","L",0,2,2,8
"Jacob Trouba","NYR","D",0,2,2,13
"Slater Koekkoek","EDM","D",1,0,1,13
"Filip Forsberg","NSH","L",6,7,13,14
"Mikhail Grigorenko","CBJ","C",2,3,5,14
"Radek Faksa","DAL","C",1,1,2,11
"Matt Grzelcyk","BOS","D",0,3,3,6
"Colton Parayko","STL","D",1,7,8,14
"Oskar Sundqvist","STL","C",2,1,3,14
"Esa Lindell","DAL","D",1,0,1,11
"Chandler Stephenson","VGK","C",4,3,7,11
"Shayne Gostisbehere","PHI","D",0,1,1,7
"Mackenzie MacEachern","STL","L",0,1,1,3
"Devin Shore","EDM","C",1,1,2,10
"Jujhar Khaira","EDM","L",2,3,5,7
"Adam Pelech","NYI","D",0,3,3,12
"Jimmy Vesey","TOR","L",2,1,3,14
"Chris Tierney","OTT","C",3,2,5,15
"Jordan Martinook","CAR","L",0,3,3,8
"Damon Severson","N.J","D",1,3,4,9
"Martin Frk","L.A","R",0,0,0,1
"Colton Sissons","NSH","C",2,0,2,14
"Teddy Blueger","PIT","C",2,5,7,12
"Jake McCabe","BUF","D",1,2,3,10
"Brock McGinn","CAR","L",5,0,5,11
"Jaccob Slavin","CAR","D",0,2,2,8
"Andreas Athanasiou","L.A","C",3,2,5,7
"Brett Kulak","MTL","D",0,3,3,13
"Cedric Paquette","OTT","C",1,0,1,9
"Erik Gustafsson","PHI","D",0,7,7,11
"Josh Anderson","MTL","R",9,2,11,14
"Matthew Benning","NSH","D",0,0,0,13
